"","acoustic_project_code"
"1","2004_Gudena"
"2","2011_Loire"
"3","2011_Warnow"
"4","2011_bovenschelde"
"5","2013_Maas"
"6","2014_Frome"
"7","2014_Nene"
"8","2015_PhD_Gutmann_Roberts"
"9","2017_Fremur"
"10","2020_PhD_Winter"
"11","2022_Beaver_Durme"
"12","2023_meuse_Lith_Linne"
"13","2024_Anguilla_bb_Harlingen"
"14","2024_bovenschelde"
"15","2025-2026_RijnWest_array"
"16","2025_IJmuidenRotterdam_array"
"17","2025_Nederrijn_Lek_array"
"18","ARAISOLA02"
"19","ARAISOLA03"
"20","AZO"
"21","Aberdeen"
"22","Apelafico"
"23","Ars"
"24","Artevigo"
"25","BALANCE"
"26","BECORV"
"27","BSTN"
"28","BTN-DeepWater-IMEDEA"
"29","BTN-IMEDEA"
"30","BTN_LOST_ARRAY"
"31","Baltic_Sturgeon_Restoration"
"32","BlueCrab2022Algarve"
"33","Bodden_Pike"
"34","Brasem_IJM/MM"
"35","CMAX_Hebrides"
"36","CODEVCO_fish_detectors"
"37","COD_OWF"
"38","COLAGANG"
"39","CONNECT-MED"
"40","CORYTRACK"
"41","Carlingford"
"42","Crab_behavior_aquaculture_Norw"
"43","Csapidus_Southern_France"
"44","DAK"
"45","DAbecasis_PhD"
"46","DEHINC.HABI.GUACETO"
"47","DSM"
"48","DTU-Skjern"
"49","Danish_Straits"
"50","Delfzijl"
"51","EBAMAR_array"
"52","EMMN"
"53","ESGL"
"54","EUTN"
"55","Eel_migration_Test_2023"
"56","FISHINTEL"
"57","FISHOWF"
"58","FISHOWF+"
"59","FISP"
"60","FarmTrack"
"61","Finescale_Helgoland"
"62","Foyle_Catchment"
"63","Friesland"
"64","GIBRALTAR_STRAITS_COASTAL"
"65","GIBRALTRACK_pilot"
"66","GTN"
"67","Grotenete"
"68","Haringvliet2023-2026"
"69","Hevring_Trout_Denmark"
"70","ICOD_receiver_array"
"71","IG_II_Fish_Pass"
"72","IG_Waves"
"73","IMR_OWF"
"74","Inforbiomares"
"75","Inner_Foyle"
"76","JJ_Belwind"
"77","JSATS-PalmaBay-2019"
"78","Jersey_Coastal"
"79","KBTN"
"80","KERG"
"81","Kattegat_Islands"
"82","KiBiAN"
"83","LBSSM"
"84","LamTre20/21"
"85","LamYorOus18-20"
"86","Limfjord"
"87","MBA_Massmo"
"88","MBA_Wavehub"
"89","MBA_Whitsand"
"90","MI_ClewBay_Achill_network"
"91","MMERMAID"
"92","MOBEIA"
"93","MorayFirth"
"94","NARVAEEL"
"95","NTNU-Gaulosen"
"96","Noordzeekanaal"
"97","North_sea_wrecks"
"98","OP-Test"
"99","OTN-Hemnfjorden"
"100","OTN-Skjerstadfjorden"
"101","OTN-Tosenfjorden"
"102","OTN_UPLOAD"
"103","Orstedcod"
"104","Outer_Foyle"
"105","PTN-MARSW"
"106","PTN-Silver-eel-Mondego"
"107","PTN/ATLAZUL"
"108","PTN/MEROSW2021"
"109","PTN/MIGRACORV"
"110","PTN/PROTECT2013"
"111","PelFish"
"112","PhD_Barbara_Koeck"
"113","PhD_Jeremy_Pastor"
"114","PhD_Marrocco"
"115","PhD_Nolan"
"116","PhysFish"
"117","PrePARED"
"118","PureWind_fish_detectors"
"119","RAJIBAL-COFIB"
"120","RBVV2"
"121","RESBIO"
"122","RNP"
"123","Reelease"
"124","ResMed"
"125","Running_eel"
"126","SARTELARAM"
"127","SARTELTG"
"128","SARTELZINGARO"
"129","SCHUFI"
"130","SEAMONITOR_ARRAY"
"131","SEMP"
"132","SEM_array"
"133","SIARC_ARRAY"
"134","SMOLTRACK-I-Engeland"
"135","SMOLTRACK-II-Engeland"
"136","SPAWNSEIS"
"137","SPIDER_GNB_array"
"138","STRAITS_GIBRALTAR_ARRAY"
"139","STRAITS_TSTN"
"140","SU.MO.ELASMO.Adriatic"
"141","SWIMWAY_2021"
"142","SWRL_array"
"143","SW_Oude_Ijssel"
"144","Salmo_Migration_NSIC"
"145","Salmon_Eastern_Greenland"
"146","Scytrack"
"147","SkagNor"
"148","Skagerrak-NorthSea-array"
"149","SmartBay_array"
"150","Sudle_INNOV"
"151","Swimway_vechte"
"152","Swiss_AcTel"
"153","TRACE_network"
"154","TelMarsw"
"155","TelePomiMer_array"
"156","TurkishMEDTrack"
"157","TurkishTunaTrack"
"158","UtS"
"159","V2LBEIAR"
"160","V2LCHASES"
"161","V2LNR"
"162","VFMLNU_Blekinge"
"163","VFM_BP"
"164","VFM_Braviken"
"165","VFM_DSTL"
"166","VFM_GoB"
"167","VFM_Malaren"
"168","VFM_RG"
"169","VFM_Siljan"
"170","VFM_Vattern"
"171","VFM_WCC"
"172","VVV"
"173","Walloneel"
"174","Winde_Tjeukemeer"
"175","Z001"
"176","ZRM_network"
"177","albert"
"178","bpns"
"179","cpodnetwork"
"180","demer"
"181","dijle"
"182","eemskanaal_I"
"183","eemskanaal_II"
"184","eemskanaal_III"
"185","kornwerderzand"
"186","lauwersmeer"
"187","leopold"
"188","life4fish"
"189","lifewatch"
"190","mepnsw_network"
"191","mrc_vliz"
"192","no_info"
"193","paintedcomber"
"194","pc4c"
"195","porbeagle_tracking_network"
"196","saeftinghe"
"197","testvr2ar"
"198","thornton"
"199","ws1"
"200","ws2"
"201","ws3"
"202","zeeschelde"
"203",NA
