"","x"
"1","deployment_id"
"2","receiver_id"
"3","acoustic_project_code"
"4","station_name"
"5","station_description"
"6","station_manager"
"7","deploy_date_time"
"8","deploy_latitude"
"9","deploy_longitude"
"10","intended_latitude"
"11","intended_longitude"
"12","mooring_type"
"13","bottom_depth"
"14","riser_length"
"15","deploy_depth"
"16","battery_installation_date"
"17","battery_estimated_end_date"
"18","activation_date_time"
"19","recover_date_time"
"20","recover_latitude"
"21","recover_longitude"
"22","download_date_time"
"23","download_file_name"
"24","valid_data_until_date_time"
"25","sync_date_time"
"26","time_drift"
"27","ar_battery_installation_date"
"28","ar_confirm"
"29","transmit_profile"
"30","transmit_power_output"
"31","log_temperature_stats_period"
"32","log_temperature_sample_period"
"33","log_tilt_sample_period"
"34","log_noise_stats_period"
"35","log_noise_sample_period"
"36","log_depth_stats_period"
"37","log_depth_sample_period"
"38","comments"
